datetime,Open,High,Low,Close
2024-04-22 11:15:00,22281.225,22291.35,22273.6,22282.875
2024-04-22 11:30:00,22283.275,22301.2,22277.7,22286.9875
2024-04-22 11:45:00,22284.525,22312.1,22284.525,22298.225
2024-04-22 12:00:00,22297.2,22308.65,22282.65,22296.0875
2024-04-22 12:15:00,22296.525,22298.7,22275.05,22286.0875
2024-04-22 12:30:00,22285.3,22299.65,22283.2,22290.125
2024-04-22 12:45:00,22288.825,22295.65,22271.85,22283.5625
2024-04-22 13:00:00,22283.375,22283.375,22257.5,22272.0625
2024-04-22 13:15:00,22273.95,22279.35,22258.25,22272.05
2024-04-22 13:30:00,22275.3,22287.0,22271.6,22280.075
2024-04-22 13:45:00,22280.85,22300.25,22280.85,22289.45
2024-04-22 14:00:00,22288.0,22302.05,22285.4,22292.525
2024-04-22 14:15:00,22291.325,22298.85,22280.15,22287.925
2024-04-22 14:30:00,22286.35,22316.1,22272.9,22296.675
2024-04-22 14:45:00,22298.85,22326.95,22298.85,22314.3375
2024-04-22 15:00:00,22311.625,22349.7,22308.8,22328.8
2024-04-22 15:15:00,22328.35,22375.65,22328.35,22356.425
2024-04-23 09:15:00,22357.575,22447.55,22357.575,22420.6125
2024-04-23 09:30:00,22423.075,22423.075,22382.4,22397.25
2024-04-23 09:45:00,22398.825,22400.15,22368.45,22390.0375
2024-04-23 10:00:00,22395.775,22418.85,22390.95,22404.925
2024-04-23 10:15:00,22404.95,22419.4,22395.05,22408.15
2024-04-23 10:30:00,22409.075,22409.075,22376.2,22389.95
2024-04-23 10:45:00,22388.65,22388.65,22355.85,22374.725
2024-04-23 11:00:00,22378.85,22385.75,22362.85,22377.875
2024-04-23 11:15:00,22381.45,22402.05,22378.7,22390.6875
2024-04-23 11:30:00,22391.0,22403.15,22383.15,22394.2125
2024-04-23 11:45:00,22395.275,22402.9,22383.45,22394.7625
2024-04-23 12:00:00,22396.35,22423.25,22396.35,22411.9375
2024-04-23 12:15:00,22411.5,22423.6,22407.25,22415.55
2024-04-23 12:30:00,22415.675,22415.675,22400.35,22407.075
2024-04-23 12:45:00,22406.325,22411.8,22393.1,22403.0625
2024-04-23 13:00:00,22403.675,22407.35,22369.15,22391.35
2024-04-23 13:15:00,22394.45,22394.45,22358.4,22379.6625
2024-04-23 13:30:00,22385.0,22397.6,22380.55,22388.225
2024-04-23 13:45:00,22387.375,22394.75,22383.5,22388.5875
2024-04-23 14:00:00,22388.05,22405.3,22377.6,22392.0625
2024-04-23 14:15:00,22392.675,22412.6,22391.15,22399.175
2024-04-23 14:30:00,22396.475,22404.45,22387.1,22395.375
2024-04-23 14:45:00,22394.975,22411.55,22386.75,22401.0
2024-04-23 15:00:00,22402.85,22411.85,22359.2,22390.1
2024-04-23 15:15:00,22394.675,22394.675,22349.45,22367.0875
2024-04-24 09:15:00,22369.975,22431.0,22369.975,22415.4625
2024-04-24 09:30:00,22415.5,22420.6,22403.65,22412.4375
2024-04-24 09:45:00,22412.75,22444.6,22410.6,22426.625
2024-04-24 10:00:00,22425.65,22449.9,22425.65,22438.625
